"file","datetime_exif","species","n_individuals","det_conf"
"IMG_0001.JPG","2026:05:02 01:04:55","Sus scrofa",3,0.71
"IMG_0002.JPG","2026:05:02 10:05:59",,0,0.19
"IMG_0003.JPG","2026:05:03 01:51:28","Sus scrofa",1,0.68
"IMG_0004.JPG","2026:05:03 01:52:08","Sus scrofa",1,0.94
"IMG_0005.JPG","2026:05:03 01:52:52","Sus scrofa",1,0.65
"IMG_0006.JPG","2026:05:03 03:04:55","Sus scrofa",1,0.86
"IMG_0007.JPG","2026:05:03 09:54:09",,0,0.29
"IMG_0008.JPG","2026:05:03 22:51:59","Vulpes vulpes",1,0.66
"IMG_0009.JPG","2026:05:03 23:29:49","Vulpes vulpes",1,0.82
"IMG_0010.JPG","2026:05:03 23:30:03","Vulpes vulpes",1,0.89
"IMG_0011.JPG","2026:05:03 23:30:51","Vulpes vulpes",1,0.76
"IMG_0012.JPG","2026:05:03 23:31:20","Vulpes vulpes",1,0.62
"IMG_0013.JPG","2026:05:04 04:00:21","Sus scrofa",1,0.74
"IMG_0014.JPG","2026:05:04 04:00:39","Sus scrofa",1,0.81
"IMG_0015.JPG","2026:05:04 04:01:30","Sus scrofa",1,0.6
"IMG_0016.JPG","2026:05:04 04:30:29","Vulpes vulpes",1,0.87
"IMG_0017.JPG","2026:05:04 04:37:49","Sus scrofa",1,0.85
"IMG_0018.JPG","2026:05:04 04:42:11","Sus scrofa",1,0.62
"IMG_0019.JPG","2026:05:04 04:42:35","Sus scrofa",1,0.76
"IMG_0020.JPG","2026:05:04 05:18:19","Vulpes vulpes",1,0.84
"IMG_0021.JPG","2026:05:04 05:19:14","Vulpes vulpes",1,0.86
"IMG_0022.JPG","2026:05:04 05:19:23","Vulpes vulpes",1,0.62
"IMG_0023.JPG","2026:05:04 07:04:26","Capreolus capreolus",1,0.66
"IMG_0024.JPG","2026:05:04 07:05:01","Capreolus capreolus",1,0.73
"IMG_0025.JPG","2026:05:04 07:05:13","Capreolus capreolus",1,0.63
"IMG_0026.JPG","2026:05:04 21:50:12","Capreolus capreolus",1,0.75
"IMG_0027.JPG","2026:05:04 21:50:19","Capreolus capreolus",1,0.64
"IMG_0028.JPG","2026:05:04 22:31:26","Capreolus capreolus",1,0.65
"IMG_0029.JPG","2026:05:05 06:34:15","Capreolus capreolus",1,0.61
"IMG_0030.JPG","2026:05:05 06:35:11","Capreolus capreolus",1,0.7
"IMG_0031.JPG","2026:05:05 06:36:11","Capreolus capreolus",1,0.95
"IMG_0032.JPG","2026:05:05 12:30:18","Sus scrofa",1,0.46
"IMG_0033.JPG","2026:05:05 21:37:57","Sus scrofa",1,0.87
"IMG_0034.JPG","2026:05:05 21:38:50","Sus scrofa",1,0.88
"IMG_0035.JPG","2026:05:05 22:16:58","Sus scrofa",2,0.82
"IMG_0036.JPG","2026:05:05 22:17:19","Sus scrofa",2,0.77
"IMG_0037.JPG","2026:05:06 00:52:04","Meles meles",1,0.76
"IMG_0038.JPG","2026:05:06 00:52:17","Meles meles",1,0.68
"IMG_0039.JPG","2026:05:06 00:52:35","Meles meles",1,0.75
"IMG_0040.JPG","2026:05:06 01:55:18","Sus scrofa",2,0.71
"IMG_0041.JPG","2026:05:06 02:46:04","Sus scrofa",2,0.74
"IMG_0042.JPG","2026:05:06 02:46:29","Sus scrofa",2,0.65
"IMG_0043.JPG","2026:05:07 11:55:40","Sus scrofa",1,0.39
"IMG_0044.JPG","2026:05:08 08:11:36","Capreolus capreolus",1,0.88
"IMG_0045.JPG","2026:05:08 08:12:15","Capreolus capreolus",1,0.65
"IMG_0046.JPG","2026:05:08 08:12:37","Capreolus capreolus",1,0.97
"IMG_0047.JPG","2026:05:08 08:13:35","Capreolus capreolus",1,0.92
"IMG_0048.JPG","2026:05:08 23:38:31",,0,0.05
"IMG_0049.JPG","2026:05:09 07:07:26","Capreolus capreolus",1,0.65
"IMG_0050.JPG","2026:05:09 07:08:22","Capreolus capreolus",1,0.74
"IMG_0051.JPG","2026:05:09 07:51:59","Capreolus capreolus",2,0.88
"IMG_0052.JPG","2026:05:09 07:52:10","Capreolus capreolus",2,0.79
"IMG_0053.JPG","2026:05:09 21:17:08","Sus scrofa",1,0.78
"IMG_0054.JPG","2026:05:11 06:10:37","Meles meles",1,0.42
"IMG_0055.JPG","2026:05:11 12:30:38",,0,0.29
"IMG_0056.JPG","2026:05:13 06:58:59","Vulpes vulpes",2,0.88
"IMG_0057.JPG","2026:05:13 19:02:29","Vulpes vulpes",2,0.61
"IMG_0058.JPG","2026:05:13 19:02:55","Vulpes vulpes",2,0.64
"IMG_0059.JPG","2026:05:13 21:51:15",,0,0.12
"IMG_0060.JPG","2026:05:14 22:08:24","Sus scrofa",2,0.95
"IMG_0061.JPG","2026:05:14 22:43:43","Sus scrofa",1,0.89
"IMG_0062.JPG","2026:05:14 22:44:20","Sus scrofa",1,0.77
"IMG_0063.JPG","2026:05:14 22:44:49","Sus scrofa",1,0.74
"IMG_0064.JPG","2026:05:14 22:45:05","Sus scrofa",1,0.93
"IMG_0065.JPG","2026:05:15 00:29:13",,0,0.03
"IMG_0066.JPG","2026:05:15 04:27:07",,0,0.24
"IMG_0067.JPG","2026:05:15 06:17:17",,0,0.22
