"file","datetime_exif","species","n_individuals","det_conf"
"IMG_0001.JPG","2026:05:01 21:38:47","Sus scrofa",1,0.39
"IMG_0002.JPG","2026:05:01 22:28:43",,0,0.26
"IMG_0003.JPG","2026:05:02 23:49:25",,0,0.15
"IMG_0004.JPG","2026:05:03 01:43:38","Vulpes vulpes",1,0.75
"IMG_0005.JPG","2026:05:03 01:43:58","Vulpes vulpes",1,0.83
"IMG_0006.JPG","2026:05:03 01:44:50","Vulpes vulpes",1,0.73
"IMG_0007.JPG","2026:05:03 01:45:07","Vulpes vulpes",1,0.81
"IMG_0008.JPG","2026:05:03 02:34:50","Vulpes vulpes",1,0.72
"IMG_0009.JPG","2026:05:04 09:04:30",,0,0.29
"IMG_0010.JPG","2026:05:05 18:00:33",,0,0.15
"IMG_0011.JPG","2026:05:05 20:35:34",,0,0.2
"IMG_0012.JPG","2026:05:05 23:04:14","Meles meles",1,0.66
"IMG_0013.JPG","2026:05:05 23:04:28","Meles meles",1,0.84
"IMG_0014.JPG","2026:05:05 23:05:18","Meles meles",1,0.89
"IMG_0015.JPG","2026:05:05 23:05:44","Meles meles",1,0.75
"IMG_0016.JPG","2026:05:06 03:30:59","Vulpes vulpes",2,0.66
"IMG_0017.JPG","2026:05:06 03:31:23","Vulpes vulpes",2,0.76
"IMG_0018.JPG","2026:05:06 03:31:50","Vulpes vulpes",2,0.63
"IMG_0019.JPG","2026:05:06 04:13:43","Vulpes vulpes",1,0.73
"IMG_0020.JPG","2026:05:06 04:14:29","Vulpes vulpes",1,0.85
"IMG_0021.JPG","2026:05:06 04:15:27","Vulpes vulpes",1,0.71
"IMG_0022.JPG","2026:05:06 12:41:26",,0,0.32
"IMG_0023.JPG","2026:05:07 04:51:49","Meles meles",1,0.38
"IMG_0024.JPG","2026:05:07 08:41:26","Capreolus capreolus",1,0.8
"IMG_0025.JPG","2026:05:07 08:42:07","Capreolus capreolus",1,0.89
"IMG_0026.JPG","2026:05:07 08:42:22","Capreolus capreolus",1,0.75
"IMG_0027.JPG","2026:05:07 09:31:03","Capreolus capreolus",2,0.61
"IMG_0028.JPG","2026:05:07 09:31:57","Capreolus capreolus",2,0.97
"IMG_0029.JPG","2026:05:07 20:31:28","Capreolus capreolus",2,0.87
"IMG_0030.JPG","2026:05:07 20:32:12","Capreolus capreolus",2,0.89
"IMG_0031.JPG","2026:05:07 20:32:29","Capreolus capreolus",2,0.92
"IMG_0032.JPG","2026:05:07 20:32:59","Capreolus capreolus",2,0.75
"IMG_0033.JPG","2026:05:07 23:09:48","Vulpes vulpes",1,0.95
"IMG_0034.JPG","2026:05:07 23:10:05","Vulpes vulpes",1,0.88
"IMG_0035.JPG","2026:05:07 23:10:56","Vulpes vulpes",1,0.81
"IMG_0036.JPG","2026:05:07 23:11:53","Vulpes vulpes",1,0.95
"IMG_0037.JPG","2026:05:08 00:08:13","Sus scrofa",1,0.91
"IMG_0038.JPG","2026:05:08 00:08:56","Sus scrofa",1,0.87
"IMG_0039.JPG","2026:05:08 19:51:32","Vulpes vulpes",1,0.97
"IMG_0040.JPG","2026:05:08 19:52:24","Vulpes vulpes",1,0.7
"IMG_0041.JPG","2026:05:08 20:30:59","Vulpes vulpes",1,0.61
"IMG_0042.JPG","2026:05:08 20:31:47","Vulpes vulpes",1,0.62
"IMG_0043.JPG","2026:05:08 22:54:56","Capreolus capreolus",1,0.73
"IMG_0044.JPG","2026:05:08 22:55:39","Capreolus capreolus",1,0.62
"IMG_0045.JPG","2026:05:08 22:56:26","Capreolus capreolus",1,0.77
"IMG_0046.JPG","2026:05:09 01:16:41","Vulpes vulpes",1,0.9
"IMG_0047.JPG","2026:05:09 01:17:07","Vulpes vulpes",1,0.76
"IMG_0048.JPG","2026:05:09 01:17:23","Vulpes vulpes",1,0.7
"IMG_0049.JPG","2026:05:09 01:58:56","Vulpes vulpes",2,0.9
"IMG_0050.JPG","2026:05:09 01:59:21","Vulpes vulpes",2,0.73
"IMG_0051.JPG","2026:05:09 02:14:22","Sus scrofa",1,0.84
"IMG_0052.JPG","2026:05:09 02:14:42","Sus scrofa",1,0.83
"IMG_0053.JPG","2026:05:09 02:15:33","Sus scrofa",1,0.95
"IMG_0054.JPG","2026:05:09 02:16:05","Sus scrofa",1,0.77
"IMG_0055.JPG","2026:05:09 02:53:12","Sus scrofa",2,0.84
"IMG_0056.JPG","2026:05:09 02:53:54","Sus scrofa",2,0.73
"IMG_0057.JPG","2026:05:09 21:38:46","Vulpes vulpes",1,0.87
"IMG_0058.JPG","2026:05:09 21:39:05","Vulpes vulpes",1,0.94
"IMG_0059.JPG","2026:05:09 22:12:18","Sus scrofa",1,0.85
"IMG_0060.JPG","2026:05:09 22:33:28","Vulpes vulpes",2,0.84
"IMG_0061.JPG","2026:05:10 01:55:59","Meles meles",1,0.83
"IMG_0062.JPG","2026:05:10 01:56:25","Meles meles",1,0.98
"IMG_0063.JPG","2026:05:10 01:57:14","Meles meles",1,0.88
"IMG_0064.JPG","2026:05:10 01:57:35","Meles meles",1,0.9
"IMG_0065.JPG","2026:05:10 02:39:54","Meles meles",1,0.77
"IMG_0066.JPG","2026:05:10 02:40:13","Meles meles",1,0.66
"IMG_0067.JPG","2026:05:11 03:48:58","Sus scrofa",1,0.47
"IMG_0068.JPG","2026:05:11 16:58:42","Vulpes vulpes",1,0.42
"IMG_0069.JPG","2026:05:11 22:29:29","Capreolus capreolus",2,0.65
"IMG_0070.JPG","2026:05:11 22:30:05","Capreolus capreolus",2,0.73
"IMG_0071.JPG","2026:05:12 01:26:02","Sus scrofa",2,0.64
"IMG_0072.JPG","2026:05:12 01:26:35","Sus scrofa",2,0.86
"IMG_0073.JPG","2026:05:12 01:27:15","Sus scrofa",2,0.71
"IMG_0074.JPG","2026:05:12 01:27:39","Sus scrofa",2,0.87
"IMG_0075.JPG","2026:05:12 04:17:37","Vulpes vulpes",2,0.94
"IMG_0076.JPG","2026:05:12 04:18:37","Vulpes vulpes",2,0.95
"IMG_0077.JPG","2026:05:12 04:18:43","Vulpes vulpes",2,0.62
"IMG_0078.JPG","2026:05:12 04:18:51","Vulpes vulpes",2,0.79
"IMG_0079.JPG","2026:05:12 04:45:42","Sus scrofa",2,0.8
"IMG_0080.JPG","2026:05:12 04:46:23","Sus scrofa",2,0.64
"IMG_0081.JPG","2026:05:12 05:36:02","Sus scrofa",2,0.93
"IMG_0082.JPG","2026:05:12 05:36:17","Sus scrofa",2,0.9
"IMG_0083.JPG","2026:05:12 05:37:11","Sus scrofa",2,0.85
"IMG_0084.JPG","2026:05:13 08:30:59","Capreolus capreolus",2,0.93
"IMG_0085.JPG","2026:05:13 08:31:28","Capreolus capreolus",2,0.89
"IMG_0086.JPG","2026:05:13 19:12:17","Vulpes vulpes",2,0.68
"IMG_0087.JPG","2026:05:14 02:24:01",,0,0.04
"IMG_0088.JPG","2026:05:14 02:48:30","Meles meles",2,0.62
